OBJECTID,Year,Reported Date,Occurred Date,Weekday,Offence Category,Sector,Division,Neighbourhood,Ward,Councillor,x,y
73,2023,4/24/2023 5:00:00 AM,4/24/2023 5:00:00 AM,Monday,Homicide-2Nd Degree Murder,35,East,South Keys - Heron Gate - Greenboro West,Ward 10 - Gloucester-Southgate,Jessica Bradley,371725.731000004,5024668.51809946
74,2022,9/16/2022 5:00:00 AM,9/15/2022 5:00:00 AM,Thursday,Homicide-Manslaughter,14,West,Britannia Village,Ward 7 - Bay,Theresa Kavanagh,360488.250000002,5025173.32929946
75,2021,10/26/2021 5:00:00 AM,10/26/2021 5:00:00 AM,Tuesday,Homicide-1St Degree Murder,14,West,Britannia Village,Ward 7 - Bay,Theresa Kavanagh,360488.250000002,5025173.32929946
76,2021,4/23/2021 5:00:00 AM,4/23/2021 5:00:00 AM,Friday,Homicide-2Nd Degree Murder,22,Central,West Centertown,Ward 14 - Somerset,Ariel Troster,366829.944900002,5030390.60109946
77,2019,11/1/2019 5:00:00 AM,10/31/2019 5:00:00 AM,Thursday,Homicide-2Nd Degree Murder,22,Central,West Centertown,Ward 14 - Somerset,Ariel Troster,366808.946000004,5028985.33809946
78,2023,7/19/2023 5:00:00 AM,7/19/2023 5:00:00 AM,Wednesday,Homicide-Manslaughter,22,Central,West Centertown,Ward 14 - Somerset,Ariel Troster,366717.547000003,5029970.70019946
79,2020,11/11/2020 5:00:00 AM,11/11/2020 5:00:00 AM,Wednesday,Homicide-1St Degree Murder,22,Central,West Centertown,Ward 14 - Somerset,Ariel Troster,366821.703000001,5030255.56709946
80,2018,1/17/2018 5:00:00 AM,1/17/2018 5:00:00 AM,Wednesday,Homicide-2Nd Degree Murder,15,West,Bells Corners West,Ward 8 - College,Laine Johnson,356864.409,5019946.87009946
81,2018,1/9/2018 5:00:00 AM,1/9/2018 5:00:00 AM,Tuesday,Homicide-1St Degree Murder,35,East,Hunt Club East - Western Community,Ward 16 - River,Riley Brockington,369457.721100002,5023575.51099946
82,2020,10/18/2020 5:00:00 AM,10/17/2020 5:00:00 AM,Saturday,Homicide-2Nd Degree Murder,31,East,Greenbelt - Mer Bleue,Ward 19 - Orléans South-Navan,Catherine Kitts,377183.741100004,5032160.56189946
83,2021,2/24/2021 5:00:00 AM,2/24/2021 5:00:00 AM,Wednesday,Homicide-1St Degree Murder,31,East,Greenbelt - Mer Bleue,Ward 19 - Orléans South-Navan,Catherine Kitts,377183.741100004,5032160.56189946
84,2018,4/11/2018 5:00:00 AM,4/11/2018 5:00:00 AM,Wednesday,Homicide-1St Degree Murder,31,East,Greenbelt - Mer Bleue,Ward 19 - Orléans South-Navan,Catherine Kitts,377183.741100004,5032160.56189946
