OBJECTID,ID,Year,Reported Date,Occurred Date,Weekday,Hate Crime Type,Hate Crime Motivation,Hate Crime Status,Offence Category,Neighbourhood,Sector,Division,Census Tract,Ward,Councillor,Offence Type
1225,536,2022,8/14/2022 12:00:00 AM,8/14/2022 12:00:00 AM,Sunday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Mischief To Property,Hintonburg - Mechanicsville,Sector 21,Central,5050043.00,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
1226,537,2022,6/5/2022 12:00:00 AM,6/4/2022 12:00:00 AM,Saturday,Sexual Orientation,Unknown sexual orientation,Hatecrime Suspected,Mischief To Property,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.21,Ward 24 - Barrhaven East,Wilson Lo,Criminal
1227,538,2021,6/24/2021 12:00:00 AM,6/24/2021 12:00:00 AM,Thursday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Mischief To Property,Civic Hospital-Central Park,Sector 21,Central,5050020.01,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
1228,539,2023,5/17/2023 12:00:00 AM,5/17/2023 12:00:00 AM,Wednesday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Hatecrime Suspected,Dispute- Disturbance,Civic Hospital-Central Park,Sector 21,Central,5050020.01,Ward 15 - Kitchissippi,Jeff Leiper,Non Criminal
1229,540,2023,6/8/2023 12:00:00 AM,6/8/2023 12:00:00 AM,Thursday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Mischief To Property,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.25,Ward 3 - Barrhaven West,David Hill,Criminal
1230,541,2021,3/25/2021 12:00:00 AM,3/25/2021 12:00:00 AM,Thursday,Race/Ethnicity,Black,Hatecrime Happened,Information ( General),Cityview - Skyline - Fisher Heights,Sector 17,West,5050132.00,Ward 9 - Knoxdale-Merivale,Sean Devine,Non Criminal
1231,542,2021,5/10/2021 12:00:00 AM,5/10/2021 12:00:00 AM,Monday,Race/Ethnicity,Black,Hatecrime Suspected,Suspicious Calls,Cityview - Skyline - Fisher Heights,Sector 17,West,5050132.00,Ward 9 - Knoxdale-Merivale,Sean Devine,Non Criminal
1232,543,2021,8/14/2021 12:00:00 AM,8/14/2021 12:00:00 AM,Saturday,Race/Ethnicity,Black,Hatecrime Happened,Information ( General),Cityview - Skyline - Fisher Heights,Sector 17,West,5050132.00,Ward 9 - Knoxdale-Merivale,Sean Devine,Non Criminal
1233,544,2022,3/15/2022 12:00:00 AM,3/15/2022 12:00:00 AM,Tuesday,Race/Ethnicity,Other race/ethnicity,Hatecrime Suspected,Dispute- Disturbance,Cityview - Skyline - Fisher Heights,Sector 17,West,5050132.00,Ward 9 - Knoxdale-Merivale,Sean Devine,Non Criminal
1234,545,2020,8/17/2020 12:00:00 AM,8/9/2020 12:00:00 AM,Sunday,Religion,Jewish,Hatecrime Happened,Mischief To Property,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.21,Ward 24 - Barrhaven East,Wilson Lo,Criminal
1235,546,2024,1/17/2024 12:00:00 AM,1/17/2024 12:00:00 AM,Wednesday,Immigrants/Newcomers to Canada,Immigrants/Newcomers to Canada,Hatecrime Suspected,Dispute- Disturbance,Hintonburg - Mechanicsville,Sector 21,Central,5050043.00,Ward 15 - Kitchissippi,Jeff Leiper,Non Criminal
1236,547,2020,4/26/2020 12:00:00 AM,12/13/2019 12:00:00 AM,Friday,Sexual Orientation,Unknown sexual orientation,Hatecrime Suspected,Harass Sexual Orientation,Lebreton Development,Sector 22,Central,5050047.00,Ward 14 - Somerset,Ariel Troster,Non Criminal
1237,548,2022,2/14/2022 12:00:00 AM,2/14/2022 12:00:00 AM,Monday,Religion,Muslim (Islam),Hatecrime Happened,Assault Level 1,Civic Hospital-Central Park,Sector 21,Central,5050022.00,Ward 16 - River,Riley Brockington,Criminal
1238,549,2021,11/19/2021 12:00:00 AM,11/1/2021 12:00:00 AM,Monday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Civic Hospital-Central Park,Sector 21,Central,5050034.00,Ward 16 - River,Riley Brockington,Criminal
